英雄名称,图片地址,详情地址
云中君,https://game.gtimg.cn/images/yxzj/img201606/heroimg/506/506.jpg,https://pvp.qq.com/web201605/herodetail/506.shtml
瑶,https://game.gtimg.cn/images/yxzj/img201606/heroimg/505/505.jpg,https://pvp.qq.com/web201605/herodetail/505.shtml
盘古,https://game.gtimg.cn/images/yxzj/img201606/heroimg/529/529.jpg,https://pvp.qq.com/web201605/herodetail/529.shtml
猪八戒,https://game.gtimg.cn/images/yxzj/img201606/heroimg/511/511.jpg,https://pvp.qq.com/web201605/herodetail/511.shtml
嫦娥,https://game.gtimg.cn/images/yxzj/img201606/heroimg/515/515.jpg,https://pvp.qq.com/web201605/herodetail/515.shtml
上官婉儿,https://game.gtimg.cn/images/yxzj/img201606/heroimg/513/513.jpg,https://pvp.qq.com/web201605/herodetail/513.shtml
李信,https://game.gtimg.cn/images/yxzj/img201606/heroimg/507/507.jpg,https://pvp.qq.com/web201605/herodetail/507.shtml
沈梦溪,https://game.gtimg.cn/images/yxzj/img201606/heroimg/312/312.jpg,https://pvp.qq.com/web201605/herodetail/312.shtml
伽罗,https://game.gtimg.cn/images/yxzj/img201606/heroimg/508/508.jpg,https://pvp.qq.com/web201605/herodetail/508.shtml
盾山,https://game.gtimg.cn/images/yxzj/img201606/heroimg/509/509.jpg,https://pvp.qq.com/web201605/herodetail/509.shtml
司马懿,https://game.gtimg.cn/images/yxzj/img201606/heroimg/137/137.jpg,https://pvp.qq.com/web201605/herodetail/137.shtml
孙策,https://game.gtimg.cn/images/yxzj/img201606/heroimg/510/510.jpg,https://pvp.qq.com/web201605/herodetail/510.shtml
元歌,https://game.gtimg.cn/images/yxzj/img201606/heroimg/125/125.jpg,https://pvp.qq.com/web201605/herodetail/125.shtml
米莱狄,https://game.gtimg.cn/images/yxzj/img201606/heroimg/504/504.jpg,https://pvp.qq.com/web201605/herodetail/504.shtml
狂铁,https://game.gtimg.cn/images/yxzj/img201606/heroimg/503/503.jpg,https://pvp.qq.com/web201605/herodetail/503.shtml
弈星,https://game.gtimg.cn/images/yxzj/img201606/heroimg/197/197.jpg,https://pvp.qq.com/web201605/herodetail/197.shtml
裴擒虎,https://game.gtimg.cn/images/yxzj/img201606/heroimg/502/502.jpg,https://pvp.qq.com/web201605/herodetail/502.shtml
杨玉环,https://game.gtimg.cn/images/yxzj/img201606/heroimg/176/176.jpg,https://pvp.qq.com/web201605/herodetail/176.shtml
公孙离,https://game.gtimg.cn/images/yxzj/img201606/heroimg/199/199.jpg,https://pvp.qq.com/web201605/herodetail/199.shtml
明世隐,https://game.gtimg.cn/images/yxzj/img201606/heroimg/501/501.jpg,https://pvp.qq.com/web201605/herodetail/501.shtml
女娲,https://game.gtimg.cn/images/yxzj/img201606/heroimg/179/179.jpg,https://pvp.qq.com/web201605/herodetail/179.shtml
梦奇,https://game.gtimg.cn/images/yxzj/img201606/heroimg/198/198.jpg,https://pvp.qq.com/web201605/herodetail/198.shtml
苏烈,https://game.gtimg.cn/images/yxzj/img201606/heroimg/194/194.jpg,https://pvp.qq.com/web201605/herodetail/194.shtml
百里玄策,https://game.gtimg.cn/images/yxzj/img201606/heroimg/195/195.jpg,https://pvp.qq.com/web201605/herodetail/195.shtml
百里守约,https://game.gtimg.cn/images/yxzj/img201606/heroimg/196/196.jpg,https://pvp.qq.com/web201605/herodetail/196.shtml
铠,https://game.gtimg.cn/images/yxzj/img201606/heroimg/193/193.jpg,https://pvp.qq.com/web201605/herodetail/193.shtml
鬼谷子,https://game.gtimg.cn/images/yxzj/img201606/heroimg/189/189.jpg,https://pvp.qq.com/web201605/herodetail/189.shtml
干将莫邪,https://game.gtimg.cn/images/yxzj/img201606/heroimg/182/182.jpg,https://pvp.qq.com/web201605/herodetail/182.shtml
东皇太一,https://game.gtimg.cn/images/yxzj/img201606/heroimg/187/187.jpg,https://pvp.qq.com/web201605/herodetail/187.shtml
大乔,https://game.gtimg.cn/images/yxzj/img201606/heroimg/191/191.jpg,https://pvp.qq.com/web201605/herodetail/191.shtml
黄忠,https://game.gtimg.cn/images/yxzj/img201606/heroimg/192/192.jpg,https://pvp.qq.com/web201605/herodetail/192.shtml
诸葛亮,https://game.gtimg.cn/images/yxzj/img201606/heroimg/190/190.jpg,https://pvp.qq.com/web201605/herodetail/190.shtml
哪吒,https://game.gtimg.cn/images/yxzj/img201606/heroimg/180/180.jpg,https://pvp.qq.com/web201605/herodetail/180.shtml
太乙真人,https://game.gtimg.cn/images/yxzj/img201606/heroimg/186/186.jpg,https://pvp.qq.com/web201605/herodetail/186.shtml
蔡文姬,https://game.gtimg.cn/images/yxzj/img201606/heroimg/184/184.jpg,https://pvp.qq.com/web201605/herodetail/184.shtml
雅典娜,https://game.gtimg.cn/images/yxzj/img201606/heroimg/183/183.jpg,https://pvp.qq.com/web201605/herodetail/183.shtml
杨戬,https://game.gtimg.cn/images/yxzj/img201606/heroimg/178/178.jpg,https://pvp.qq.com/web201605/herodetail/178.shtml
成吉思汗,https://game.gtimg.cn/images/yxzj/img201606/heroimg/177/177.jpg,https://pvp.qq.com/web201605/herodetail/177.shtml
钟馗,https://game.gtimg.cn/images/yxzj/img201606/heroimg/175/175.jpg,https://pvp.qq.com/web201605/herodetail/175.shtml
虞姬,https://game.gtimg.cn/images/yxzj/img201606/heroimg/174/174.jpg,https://pvp.qq.com/web201605/herodetail/174.shtml
李元芳,https://game.gtimg.cn/images/yxzj/img201606/heroimg/173/173.jpg,https://pvp.qq.com/web201605/herodetail/173.shtml
张飞,https://game.gtimg.cn/images/yxzj/img201606/heroimg/171/171.jpg,https://pvp.qq.com/web201605/herodetail/171.shtml
刘备,https://game.gtimg.cn/images/yxzj/img201606/heroimg/170/170.jpg,https://pvp.qq.com/web201605/herodetail/170.shtml
后羿,https://game.gtimg.cn/images/yxzj/img201606/heroimg/169/169.jpg,https://pvp.qq.com/web201605/herodetail/169.shtml
牛魔,https://game.gtimg.cn/images/yxzj/img201606/heroimg/168/168.jpg,https://pvp.qq.com/web201605/herodetail/168.shtml
孙悟空,https://game.gtimg.cn/images/yxzj/img201606/heroimg/167/167.jpg,https://pvp.qq.com/web201605/herodetail/167.shtml
亚瑟,https://game.gtimg.cn/images/yxzj/img201606/heroimg/166/166.jpg,https://pvp.qq.com/web201605/herodetail/166.shtml
橘右京,https://game.gtimg.cn/images/yxzj/img201606/heroimg/163/163.jpg,https://pvp.qq.com/web201605/herodetail/163.shtml
