author,content,score,time,title
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
如今无论做宣传、做内容分享，单靠图文已经不足以吸引读者了，因为图文阅读不单只枯燥，而且需要把抽象的信息理解、消化、吸收，会自动让很多读者放弃阅读。而大家都对看得见、摸得着的内容形式天生更容易接受–短视频，它的吸引力会更大。
但是制作短视频是有一定门槛的，传统的制作方法，前期要准备素材，然后借助一些专业的软件，花费大量时间精力去学习，还不一定能学好。而对于一些图文读者，并不擅长于工具的使用，当然是希望能花费尽可能少的精力制作出专业的视频了。
这里介绍一款非常适合用于快速创作短视频的工具：
万彩字影大师
（
www.animiz.cn/textmovie/
），它是一款专门制作文字动画的软件。制作过程非常简单，只需输入文字，就可以自动转换成文字视频。
其实使用万彩字影大师的思路很简单，就是事先把要展现的文字内容准备好，输入到万彩字影大师软件，就可以生成翻转的文字视频了。一般这种内容，最好是有配音，所以可以使用软件里的文字转语音功能，生成语音朗读，在时间轴里把文字和语音对齐。或者也可以自己录音，这样就最好不过了。
万彩字影大师制作的视频演示
万彩字影大师功能
海量精美模板
内置了海量精美模板，包含了各种类型，如幽默搞笑、销售口才、情感百科、健康养生等，一键套用。
20+文字动画效果
丰富的文字动画效果：弹跳、 翻滚、 打印、手写等，让文字表现形式更丰富。
百变文字视频风格
文字和图片支持添加剪纸/黑白/黑影效果。 剪纸（贴纸）效果可使文字/图片立体突出；还可按需选择黑白、抖音风黑影效果。
丰富的图标素材库
上万的图标涉及各行各业，给文字配上相应图标，提升网友对视频内容的理解，轻松应对各种场景。
60+动画人物角色
包含 2D 角色和 3D 角色，涉及多个行业：教师、 警察、医护、白领等。每一个角色都有各种动作/表情，您可根据文字的内容，配备相应的角色。
妙用前景装饰特效
多种前景，如爱心、天空、植物等，满足各类场景需要；不同的装饰，如动植物、天气等， 美化视频画面；还有强大的特效，如爆炸、电光、表情等， 装点文字， 丰富动画视频内容。
文字转语音
如果不想真人配音，则可以输入文字生成语音朗读：多种角色可供选择（男士、女士、儿童、卡通）； 方言轻松转换（普通话，粤语， 英语， 其他方言）。
录制音频
连接麦克风即可录音，支持编辑以及设置变音。
创意片头片尾
自定义文字动画片头片尾：可添加文字，图片， Flash和转场动画，使视频内容更完整。
简单输出随意分享
支持输出多种视频格式，如 mp4/mov/wmv/avi/flv/mkv；高清输出，LED 大屏播放毫无压力；还支持输出 GIF 动图； 一键上传云端，轻松分享至微信、QQ、微博等社交平台。
注：万彩字影大师是电脑版软件，只能在电脑上使用，目前还没有手机版 APP。请使用电脑打开官网下载使用。
万彩字影大师 官网下载： 
http://www.animiz.cn/textmovie/download/
万彩字影大师 图文教程： 
http://www.animiz.cn/textmovie/help/
万彩字影大师激活码
万彩字影大师区分不同的账号类型，提供了免费版、特别版、标准版 VIP、高级版 VIP、专业版VIP，除了免费版以及活动获得的特别版外，其余版本均是付费的。
特别版和免费版最大的区别是，免费版是带有 logo 水印的，而特别版可去水印、可去水印、可去水印，而且输出的视频清晰度会比免费版更高，能使用的素材也会多一些，所以更实用。
激活码
：E918-D71C-4DDC-3AA8-F902
激活码有效期
：即日起至 2020年9月15日
激活后特别版有效期
：365天
领取特别版的升级步骤
前往
万彩字影大师
官网，注册账号并登录
登录之后，
前往这里升级账号
，点击[激活码升级]，如图：
输入激活码，点击”激活”按钮，即可升级为“特别版”。
这时就可以去下载软件使用了！
如果你之前已经在 万彩字影大师 软件里登录过帐号，那么需要退出登录，再重新登录一下帐号才能生效哦。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36395'});
});
收藏
1
0
0
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",6,2020/07/14,万彩字影大师-自媒体抖音文字动画视频制作软件（送1000个特别版激活码）
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
Screenote
 是一款 Windows 下的简单的全快捷键截图和贴图工具，只需通过几个简单的快捷键，就能实现手不离键盘完成截图、贴图、保存等操作。@Appinn
来自
发现频道
，@
Poerin
 推荐的几款自己的开源软件。
Screenote 包含两个功能：截图、贴图。它会在截图之后自动将截图的部分置顶贴在屏幕上，可以随便移动，当作参考。
目前看来，贴图这样的操作方式的确非常好用，高效。
而更高效的，是 Screenote 的全快捷键操作，从截图、区域选择、移动，到贴图、保存，都可以通过快捷键操作：
截图操作：
PrintScreen / Pause
：进入截图状态：
方向键
：逐像素移动光标，同时按下 Shift 键可快速移动。
Enter 键 / 鼠标左键
：开始或结束截图。
Space 键 / 鼠标中键
：复制当前光标所指像素的十六进制表示的 RGB 值。
Esc 键 / 鼠标右键
：退出截图状态。
贴图操作：
~ 键
：将贴图调整为原始比例，同时按下 Shift 键可将贴图调整为原始尺寸。
方向键
：逐像素移动贴图，同时按下 Shift 键可快速移动。
Enter 键 / 鼠标双击
：保存贴图。
Space 键 / 鼠标中键
：复制贴图。
Esc 键 / 鼠标右键
：销毁贴图。
Shift+PrintScreen / Shift+Pause
：将剪贴板中的图片贴到屏幕上。
这样，就可以实现双手不离开键盘，完成截图、贴图的操作。当然用鼠标也是很容易的。
需要注意的是，在运行 Screenote 之后，不会有任何提示、界面，如果想要退出，请前往任务管理器结束 Screenote 进程即可。
Screenote 在 
GitHub
 开源，一个
搬运
。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36220'});
});
收藏
1
6
2
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",4,2020/06/16,Screenote – 全快捷键截图、贴图工具[Windows]
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
Surface Dial
 是微软的一款实体智能按钮，可以为 Windows 增加一些新的操作方式。其官方定价为 99 美金。但现在，只需要一个 Android 应用 
AB Dial
，就能实际体验 Dial 的功能了。
注意 AB Dial 仅仅模拟了功能，无法模拟 Surface Dial 的实际操作体验。
来自
发现频道
，通过蓝牙链接 Windows 10，就能把 Android 手机模拟为一个 dial 设备，在 Windows 10 的
设备设置
页面中，会以
轮盘
的名字出现：
开发者提供了一段介绍视频，内容有点啰嗦，建议快进播放：
 
 
 
安装
要实现这个轮盘，首先需要有一台 Android 9+ 以上系统，以及 Windows 10 周年更新版以上即可。
然后在 Android 上安装 AB Dial（
GitHub
、
酷安
），注意 GitHub 里提供的 Play 商店暂未更新。
之后，只需要在 Windows 里通过蓝牙连接手机，就能在设置里看到
轮盘
了。
用途
由于与实体 Surface Dial 体型相差甚远，所以也不要想着能很好的使用，就是体验下…
比如视频里介绍的翻页、拖动进度条等等。
AB Dial 的中间原点相当于 Surface Dial 的按钮，外圈相当于 Surface Dial 的旋转，具体的设置要在 Windows 的轮盘中。
感兴趣的同学可以
前往发现频道
继续研究。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36247'});
});
收藏
2
0
0
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",7,2020/06/20,99美金的 Surface Dial，只需一个 Android 应用 AB Dial 就搞定了
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
万彩手影大师（
http://www.animiz.cn/hand/
）是一款自媒体(抖音,快手等)动画视频制作软件，专注于制作创意的自媒体动画视频。通过简单的拖拽，即可添加图片、图形、预设文本、SWF与音频素材到画布中，轻松制作自媒体动画视频。
万彩手影大师
操作简单，非常适合小白使用，无需专业知识以及复杂操作。它内置大量模板，只需几步即可做出专业的自媒体动画视频。
实例
看看万彩手影大师的制作效果吧：
软件中独有的
剪纸效果
，让视频中的图片更加立体，呈现效果更加；生动的
手势动作
动画，让白板动画视频不再单调；一键分享手势动画到朋友圈，让更多人欣赏你的创意动画视频。
万彩手影大师功能
1. 生动的动作动画
多种手势动画可选，简单的手势动画让你的动画视频更加趣味生动，让观众印象深刻
手势动画
2. 自定义手绘动画
可以自定义手绘的笔和手势，以配合所需的动画内容，创建白板手绘动画：
3. 真人手写字动画功能
4. 生动立体的3D动画人物
动作丰富，表情多样的3D动画人物，有效地丰富视频动画内容和提升用户观看体验，用更生动的方式来传递动画视频信息。
5. 多种可商用的静态人物
6. 前景特效动画
多种前景特效动画让内容切换、转场更自然流畅，让自媒体动画视频内容更精彩。
7. 精美图片库
附带10000+的手绘图片素材，涵盖多个主题分类，满足用户不同视频制作需求
8. 艺术字、音频和SWF素材库
使用艺术字让视频场景更美观；使用音频调动视频气氛；使用动态动画素材，让视频场景更加趣味生动
9. 精美的剪纸效果
特色剪纸风格，让普通图片立体化，美化图片呈现效果，让自媒体动画视频更加生动立体
10. 表达小助手-字幕语音
给精彩的手势动画视频添加字幕，再搭配上语音，轻松地阐述你的观点，便于观众快速抓到重点
11. 轻松输出在线动画视频
一键分享到各大社交媒体，收获更多赞美
12. 生成 GIF 动画
快速生成高质量的GIF图像，画质清晰便于分享；支持多种视频格式，大屏播放也清晰。
福利：1000 个特别版激活码
万彩手影大师下载地址
http://www.animiz.cn/hand/download/
（需电脑打开下载，它是个电脑软件）
此次活动将会送出 1000 个特别版激活码，激活后 1 年内有效，送完即止！
使用下面的激活码进行升级，即可升级为特别版，特别版相比免费版可以
去水印
，以及
更多的可用素材
。
超级激活码：
631A-7666-E525-0201-D8A9
激活码有效期：
即日起至2020年07月31日
激活后特别版有效期：
365天
激活码使用方法
特别版如何升级步骤：
先 
登录账号
，按下图步骤进入升级账户界面：
激活后， 365天内有效。在账号状态里能查看到期时间
升级好后，打开万彩手影大师软件，登录已升级好的账号，就可以获得特别版的使用权限。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36266'});
});
收藏
1
0
0
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",5,2020/06/22,"万彩手影大师 – 自媒体(抖音,快手等)动画视频制作软件，送1000个特别版"
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
PhotoRec
 是一款开源的数码照片及文件恢复工具，它可以帮助你恢复那些不小心丢失的数据，比如移动硬盘、数码相机存储卡、U 盘、img 文件等。@Appinn
大多数数据恢复软件都提供免费使用，但在恢复大量数据的时候，价格不菲…
PhotoRec 提供了一个不错的选择，它支持 Windows、Linux、macOS 系统，支持众多磁盘格式：
FAT
NTFS
exFAT
ext2/ext3/ext4
HFS+
也支持 .dd、.raw、.img 文件，以及对各品牌数码相机的支持，使用也算简单，但目前并没有中文界面。注意似乎不支持直连的手机。
首先选择要恢复数据的磁盘分区，然后选择之后将要保存被恢复的数据位置，注意不能是同分区，然后就可以点击 Search 按钮进行扫描了。
视磁盘分区大小，速度也不太一样，之后就能在刚刚的保存路径下找到所有被恢复的文件了。PhotoRec 还会帮你统计恢复了不同类型文件的数量。
然后就去翻翻看有没有你想要的内容吧。
对于数据恢复这个事情，青小蛙觉得最重要的还是先备份，然后在数据丢了之后记得别动…
PhotoRec 官网
在这里
，
下载地址
。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36287'});
});
收藏
2
1
0
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",6,2020/06/24,PhotoRec – 开源数码照片及数据恢复工具
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
LuckyYou
 是一款通过图片进行抽奖、课堂提问点名的小工具，使用简单，点一下抽一个。图片文件名会显示在抽奖结果页面@Appinn
来自
发现频道
，@
jwenjian
 同学的推荐：这是一个用于 课堂点名 / 抽奖 的小工具，体积小巧, 使用简单，免费，代码开源。
LuckyYou
 使用了 tauri 框架，支持 Windows、macOS、Linux 系统，界面非常简答，只有两个按钮：选择图片文件夹、开始抽奖。
注意 LuckyYou 并不能选择抽奖数量然后一次性抽奖，它只能一个一个抽，所以理论上是可以一个人被抽到多次的。伴有配音，还算有趣。
青小蛙录了一段视频：
 
 
 
照片下方会直接显示照片的文件名，所以善于文件名，比如课堂点名，你就需要学生的照片，然后将照片名修改为学生姓名，就能在点名的时候直接看到了。
另外啊，课堂点名主要是用来回答问题的啊，不是用来逃课用的，配上那个音乐，还是有一点点的紧张感 😂
LuckyYou 在 
GitHub
 开源，tauri 框架都能这么小巧么，三平台加起来也才 10MB 多一点点。需要搬运请留言。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36303'});
});
收藏
4
1
1
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",4,2020/06/27,LuckyYou – 开源的抽奖小工具， 课堂提问点名小工具[Win/macOS/Linux]
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
PureRef
 是一款跨平台的生产力工具，运行后可以把 PureRef 理解为一张工作台，平铺在桌面，你可以将电脑里任意地方的图片拖进这张工作台，以供参考使用。@Appinn
自从喜欢上了 Pin 图片操作，青小蛙的效率提高了一点点，嗯一点点。你可以把 PureRef 想象成一种大号的 Pin。
PureRef 本身就是一张工作台，将图片拖拽进去，任何地方的都可以，然后可以移动、起名字备注、放大缩小、排序等等，当作参考非常不错。如果有第二块屏幕，那更方便了。
来看视频：
 
可以通过快捷键旋转、放大缩小、添加备注，置顶显示，或者设置为半透明模式放在 Photoshop 的上面，然后在 PS 里面进行临摹。
快捷键非常丰富，几乎每一个操作都可以通过快捷键实现，不过软件暂时没有中文界面，使用略有门槛，但顺便学几个单词不是更好？
PureRef 官网
在这里
，一个 Windows 64 位便携版本的
搬运
，macOS 
搬运
，其他版本请从官网下载。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36277'});
});
收藏
2
3
0
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",3,2020/06/23,PureRef – 将全部参考图片放在一处[Win/macOS/Linux]
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
Caplos
 是一款只有 50KB 的
大小写键
增强工具，能够为大小写键增加移动光标、退格删除等操作，可以最小化打字、写代码时的按键距离，让双手更加不离开键盘。@Appinn
来自
发现频道
，开发者 @
pluveto
 的推荐：一个充分利用你的大小写键的工具，可以最小化打字、写代码时的按键距离。
两个功能：
在系统托盘显示大小写状态
使用组合键实现更多快捷键
大小写状态
CapsLock 快捷键
比如你想不移动右手位置就输入上下左右, 你可以使用组合键 
[大小写]+H/J/K/L
比如删除键太远了你不想去用小拇指够, 你可以使用组合键 
[大小写]+'
不过开发者已经好几个月没有更新了，有兴趣的可以
前往发现频道
继续了解。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36322'});
});
收藏
2
3
1
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",4,2020/06/29,Caplos – 只有 50KB 的大小写键工具，让你打代码如飞[Windows]
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
Okular
 是一款来自 KDE 的通用文档阅读器，支持众多文档格式，如 PDF、Postscript、DjVu、CHM、XPS、ePub、图片格式等，可高亮、注释，支持 Windows、macOS 与 Linux，是科研学术人士阅读文献的好工具，也是电子书爱好者的好工具。@Appinn
感谢匿名网友的推荐：
KDE 出品，绿色无广告。可高亮、可注释、可查看目录，是科研学术人士看文献佳软。唯一缺点是欧路目前没法划词翻译。
KDE 就是那个经常听到的 KDE 啊，其实 KDE 是一个自由软件社区，有好多的软件，最著名的应该就是许多 Linux 发行版的默认桌面环境。
Okular 可以在
微软商店
下载 Windows 版本，Linux 用户可以通过 
snap 商店
安装，macOS 用户的
安装指南
略麻烦，就别用了吧 🙈
Okular 的批注功能包括：
弹出式笔记
内建笔记
手绘线
突出显示
直线
多边形
印戳
下划线
椭圆形
打字机
其中内建笔记的中文显示似乎有些问题，青小蛙测试只能显示英文，但输入正常。
针对 PDF 文档还可以显示签名、选择文本、表格、朗读等功能（其他文档未测试）。可显示缩略图、目录、书签，支持格式非常多，各种图片都可以支持，用作漫画或电子书阅读器都挺不错的。
如果你一直没有一个很称心的文档，那么真的值得试一试 Okular，官网
在这里
。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36352'});
});
收藏
1
5
0
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",8,2020/07/04,Okular – 来自 KDE 的通用文档阅读器，可高亮、注释，支持 PDF、ePub、XPS、图片等多种文档格式
青小蛙," 
  
 
(adsbygoogle = window.adsbygoogle || []).push({});
 
Stems
 是一款非常简单易用的工具，它能够将任何音乐都分离为几个不同的专业音轨，然后去除人声，创建独立乐器音轨及伴奏音乐。@Appinn
曾经，青小蛙也是那个满网络寻找伴奏音乐的人，无非就是各种活动使用，那时也会使用 
Audition
 去人声，但效果很一般，有时候甚至会影响到伴奏。
Stems 这个有点脑洞了，它不止去除人声，而直接将歌曲分离为各个音轨，包括：
贝斯
鼓
乐器
原始音乐
其他
钢琴
主唱
这就非常有意思了，Stems 支持本地音乐，以及直接从 YouTube 和 SoundCloud 加载音频。
不过不知道是不是青小蛙的电脑比较慢，分离音轨的过程十分缓慢，甚至有很长时间感觉卡死。
分离出来的音轨直接以名称命名，.wav 格式。
不过真的是慢啊，截止滑水+写完上面的文字，instrumental 和 vocals 还没有完成，但已经可以部分预览。
最后，只需要将除去 vocals 的其他音轨合并，就是完整的伴奏音乐了，青小蛙尝试了一下，非常完美。
感兴趣的同学可以前往
官网下载
，老规矩有需求留言了搬运。
以及，这是一款付费软件，支持 14 天试用。
 
jQuery(document).ready(function($) {
    $.post('https://www.appinn.com/wp-admin/admin-ajax.php', {action: 'mts_view_count', id: '36388'});
});
收藏
4
3
3
 
 
 
(adsbygoogle = window.adsbygoogle || []).push({});
 ",11,2020/07/13,Stems – 为歌曲分离音轨，去除人声，创建伴奏音乐[Win/macOS]
